SNo,Unitcode,Unit title,Capacity,Total enrolled,Lab and tut. capacity,Not Running,,
106,MA616,Strategic Management,25,6,50,FALSE,,
107,MA617,Forensic Accounting,25,,,TRUE,,
108,MA618,Industry Based Capstone Project,43,43,,FALSE,,
109,MA619,Accounting Research,50,47,,FALSE,,
110,MA625,Entrepreneurship and Innovation,25,10,50,FALSE,,
111,MDA511,Mathematical and Statistical Methods,100,72,,FALSE,,
112,MDA512,Data Science,100,74,,FALSE,,
113,MDA513,ICT Practices,100,73,,FALSE,,
114,MDA522,Artificial Intelligence,25,3,50,FALSE,,
115,MDA523,Software Engineering Fundamentals,25,2,50,FALSE,,
116,ME502,Overview of Digital Communication,25,7,50,FALSE,,
117,ME504,Advanced Networking,25,3,50,FALSE,,
118,ME601,Telecommunication Modeling and simulation ,25,8,50,FALSE,,
119,ME602,Mobile and Satellite Communication Systems,25,16,50,FALSE,,
120,ME603,Project 1,25,4,50,FALSE,,
121,ME604,Project 2,25,18,50,FALSE,,
122,ME700,Industry Experience,25,,,FALSE,,
123,MIT001,Learning Foundations,150,544,,FALSE,,
124,MLC101,Student Language Support Program,100,9,,FALSE,,
125,MN404,Fundamentals of Operating Systems and Programming,225,156,100,FALSE,,
126,MN405,Data and Information Management,225,157,100,FALSE,,
127,MN501,Network Management in Organisations,200,151,100,FALSE,,
128,MN502,Overview of Network Security,300,209,100,FALSE,,
129,MN503,Overview of Internetworking,125,98,100,FALSE,,
130,MN504,Networked Application Management,50,27,100,FALSE,,
131,MN506,System Management,75,25,100,FALSE,,
132,MN601,Network Project Management,100,27,100,FALSE,,
133,MN603,Wireless Networks and Security,50,49,200,FALSE,,
134,MN621,Advanced Network Design,102,102,402,FALSE,,
135,MN623,Cyber Security and Analytics,50,34,200,FALSE,,
136,MN624,Digital Forensics,125,101,400,FALSE,,
137,MN691,Research Methods and Project Design,37,37,200,FALSE,,
138,MN692,Capstone Project,116,116,215,FALSE,,
139,PGCNA001,Assessment Workshop,500,255,,FALSE,,
140,PGDAA001,Assessment Workshop,500,77,,FALSE,,
141,UGCNA001,Assessment Workshop,500,74,,FALSE,,
